SA2_MAIN16,SA2_NAME16,Ec_To_Dw,Ec_Typlg,Ec_PoCap,Ec_PctWlkg,Ec_AvTmeWk,Ec_AvDstWk,Ec_Clss,BU_toDwel,BU_Typo,BU_PoCap,BU_PcWalk,BUAvTmeWlk,BUAvDstWlk,BU_Cls,St_ToDwl,St_Typlg,St_PoCap,St_PctWlk,St_AvTmeWk,St_AvDstWk,Op_ToDwe,Op_Typlg,Op_PoCapa,Op_PctgWlk,Op_AvTmeWk,Op_AvDstWk,St_Cls,Op_Clss,ExCon,BaU,Std20M,Opt20Min
206031115,Flemington,1254.922128,1,2760.828682,13.80729497,10.41245428,0.684950683,Urban mixed use and residential area,1434.196718,2,3155.23278,13.94155395,10.01223271,0.647935296,Typical suburban area,11652.84833,4,25636.26633,29.04895393,16.69316937,1.303198413,1972.020487,1,4338.445072,14.35221482,12.66671411,0.904268961,Urban core districts,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041117,Carlton,11112.02794,4,21112.85309,21.02865288,17.43967724,1.293896117,Urban core districts,10385.07284,4,19731.6384,20.32836356,16.76935161,1.22397274,Urban core districts,13500.5947,4,25651.12992,23.50396501,19.61575189,1.528559689,12981.34105,4,24664.548,22.94217984,20.39985742,1.615883575,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041118,Docklands,14819.19427,4,31120.30796,30.54799876,14.59234261,1.115816135,Urban core districts,13849.71427,4,29084.39996,29.5306993,14.03145945,1.055516369,Urban core districts,18004.62855,4,37809.71995,34.1438464,16.41313472,1.318182767,17312.14283,4,36355.49995,33.32774978,17.0692212,1.393488195,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041119,East Melbourne,16855.12226,4,32024.7323,51.59174253,15.2214234,1.161926434,Urban core districts,15752.45071,4,29929.65635,49.87365119,14.63636038,1.099134824,Urban core districts,20478.18592,4,38908.55326,57.66467866,17.12071048,1.372655722,19690.56339,4,37412.07044,56.28639371,17.80508107,1.451073093,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041120,Flemington Racecourse,0,0,0,15.52175075,6.64765393,0.291204648,Excluded,0,0,0,15.52175075,6.64765393,0.291204648,Excluded,0,0,0,15.52175075,6.64765393,0.291204648,0,0,0,15.52175075,6.64765393,0.291204648,Excluded,Excluded,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041121,Kensington (Vic.),13269.88525,4,29193.74754,34.65289948,16.258668,1.203898873,Urban core districts,12401.76191,4,27283.8762,33.49889996,15.63373661,1.138839033,Urban core districts,16122.29048,4,35469.03907,38.73194072,18.28737959,1.422240366,15502.20239,4,34104.84526,37.80618075,19.01838575,1.503490419,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041122,Melbourne,14689.22772,4,29378.45543,27.14664508,13.74967893,1.053951764,Urban core districts,13728.2502,4,27456.50041,26.24261638,13.22118508,0.996995208,Urban core districts,17846.72526,4,35693.45053,30.34211462,15.4653258,1.245098552,17160.31275,4,34320.62551,29.61688592,16.08352527,1.316228809,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041123,North Melbourne,18595.89557,4,39051.3807,30.34056588,16.65654811,1.310649917,Urban core districts,17379.34166,4,36496.61748,29.33017428,16.01632347,1.239821148,Urban core districts,22593.14415,4,47445.60272,33.91199631,18.73490607,1.548351991,21724.17707,4,45620.77185,33.1014413,19.48380132,1.636806576,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041124,Parkville,2252.045775,3,4954.500704,10.85076463,12.66534918,0.848989595,Spacious residential area,1801.63662,3,3963.600563,10.74627035,12.17853351,0.80310939,Spacious residential area,1801.63662,3,3963.600563,10.74627035,13.17162446,0.897490855,28150.57218,4,61931.2588,22.71856769,18.46743395,1.596020992,Spacious residential area,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041125,South Yarra - West,8833.559727,4,16783.76348,38.31521666,16.83838366,1.291450862,Urban core districts,8255.663296,4,15685.76026,37.03925585,16.19116984,1.221659628,Urban core districts,10732.36229,4,20391.48834,42.82535437,18.93943056,1.525670957,10319.57912,4,19607.20033,41.80175478,19.69650132,1.612829815,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041126,Southbank,16289.79408,4,30950.60876,42.9793491,17.23388398,1.305641485,Urban core districts,15224.10662,4,28925.80258,41.54806487,16.57146839,1.235083377,Urban core districts,19791.33861,4,37603.54335,48.03850836,19.38428032,1.542435221,19030.13328,4,36157.25322,46.89030543,20.15913317,1.630551791,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206041127,West Melbourne,0,0,0,6.501528631,8.780308884,0.43568326,Excluded,0,0,0,6.501528631,8.780308884,0.43568326,Excluded,0,0,0,6.501528631,8.780308884,0.43568326,0,0,0,6.501528631,8.780308884,0.43568326,Excluded,Excluded,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051128,Albert Park,27998.98482,4,58797.86813,40.88781092,15.16352222,1.198439048,Urban core districts,26167.27554,4,54951.27863,39.52617842,14.58068473,1.133674261,Urban core districts,34017.4582,4,71436.66221,45.7007723,17.05558454,1.415790336,32709.09442,4,68689.09828,44.60844528,17.73735184,1.49667191,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051129,Elwood,1703.136265,2,3406.27253,17.84681876,10.80049813,0.68861485,Typical suburban area,2270.848353,2,4541.696707,18.19558298,10.38536139,0.651401449,Typical suburban area,2412.776375,2,4825.552751,18.28383382,11.68121804,0.76954091,1277.352199,2,2554.704397,17.58963963,12.63375571,0.859977406,Typical suburban area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051130,Port Melbourne,16427.74772,4,34498.27021,42.16419887,14.40237787,1.129560509,Urban core districts,15353.03525,4,32241.37403,40.76006051,13.84879635,1.068517985,Urban core districts,19958.94583,4,41913.78624,47.12740566,16.19946671,1.334419849,19191.29407,4,40301.71754,46.00097964,16.84701218,1.410652873,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051131,Port Melbourne Industrial,0,0,0,20.24125625,8.867001095,0.450473677,Excluded,0,0,0,20.24125625,8.867001095,0.450473677,Excluded,3170.938188,1,3170.938188,21.55530829,12.61758712,0.95673232,30489.79027,4,30489.79027,44.48063431,18.70327503,1.628869745,Urban mixed use and residential area,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051132,South Melbourne,14400.1705,4,28800.341,40.50727323,17.16550021,1.287641164,Urban core districts,13458.10327,4,26916.20654,39.15831327,16.50571307,1.218055811,Urban core districts,17495.53425,4,34991.0685,45.27544099,19.30736381,1.521170326,16822.62909,4,33645.25817,44.19328012,20.07914206,1.608072071,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051133,St Kilda,22251.16079,4,40052.08943,31.53596005,15.3610295,1.201436889,Urban core districts,20795.47738,4,37431.85928,30.48575982,14.77060047,1.136510096,Urban core districts,27034.12059,4,48661.41706,35.24810199,17.27773624,1.419331871,25994.34672,4,46789.8241,34.40561176,17.96838366,1.500415767,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206051134,St Kilda East,1566.30315,2,3132.606301,17.71060744,10.31081201,0.662554634,Typical suburban area,2088.404201,2,4176.808401,18.05670981,9.914497247,0.626749551,Typical suburban area,2218.929463,2,4437.858926,18.1442871,11.15160077,0.740418096,1174.727363,2,2349.454726,17.45539117,12.06095113,0.827432077,Typical suburban area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206061135,Armadale,13064.31665,4,27435.06496,35.1521904,13.52540636,1.037228058,Urban core districts,12209.64173,4,25640.24762,33.98156366,13.00553283,0.981175267,Urban core districts,15872.53424,4,33332.32191,39.29000387,15.21306913,1.225341801,15262.05216,4,32050.30953,38.35090524,15.82118507,1.29534339,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206061136,Prahran - Windsor,17442.77254,4,33141.26783,38.59317906,13.85396055,1.073084663,Urban core districts,16301.65658,4,30973.1475,37.30796163,13.32145844,1.015094147,Urban core districts,21192.15356,4,40265.09176,43.13603612,15.58261939,1.267701431,20377.07073,4,38716.43438,42.1050107,16.20550747,1.34012295,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206061137,South Yarra - East,15282.00788,4,27507.61418,37.64340832,15.49732295,1.164629431,Urban core districts,14282.25035,4,25708.05064,36.38981985,14.90165524,1.101691749,Urban core districts,18566.92546,4,33420.46583,42.07446654,17.43103602,1.37584894,17852.81294,4,32135.06329,41.06881446,18.12781133,1.454448734,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206061138,Toorak,3510.018511,1,7722.040725,20.24420346,8.594049832,0.592861448,Urban mixed use and residential area,3259.302903,1,7170.466387,20.14649049,8.263721937,0.560822651,Urban mixed use and residential area,3259.302903,1,7170.466387,20.14649049,9.666391581,0.700383979,5515.743375,1,12134.63542,21.04316289,10.45463148,0.782693147,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071139,Abbotsford,10489.52793,4,22028.00865,35.62425202,17.41698841,1.290164701,Urban core districts,9803.297131,4,20586.92398,34.43790483,16.74753487,1.220442973,Urban core districts,12744.28627,4,26763.00117,39.81763252,19.59023202,1.524151536,12254.12141,4,25733.65497,38.86592265,20.37331743,1.611223592,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071140,Carlton North - Princes Hill,11464.08726,4,26367.4007,31.9875241,15.59586249,1.176410304,Urban core districts,10714.10025,4,24642.43056,30.92228603,14.99640723,1.112835972,Urban core districts,13928.33032,4,32035.15973,35.75282027,17.54187105,1.389766416,13392.62531,4,30803.03821,34.89826641,18.24307679,1.46916129,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071141,Collingwood,1001.460106,1,2002.920212,17.12720541,11.82301544,0.769100123,Urban mixed use and residential area,929.9272414,1,1859.854483,17.04453729,11.36857639,0.72753722,Urban mixed use and residential area,929.9272414,1,1859.854483,17.04453729,13.29825858,0.90858565,1573.723024,1,3147.446048,17.80314913,14.38265681,1.015362692,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071142,Fitzroy,8394.773512,4,17629.02438,37.67567474,15.47020812,1.147482422,Urban core districts,7845.582722,4,16475.72372,36.42101174,14.87558261,1.08547138,Urban core districts,10199.25754,4,21418.44083,42.11053108,17.40053787,1.355592115,9806.978402,4,20594.65464,41.10401699,18.09609407,1.433034672,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071143,Fitzroy North,14589.00584,4,32095.81286,35.86267122,14.53777159,1.108344577,Urban core districts,13634.5849,4,29996.08678,34.66838428,13.97898597,1.048448582,Urban core districts,17724.96037,4,38994.91282,40.08411638,16.35175449,1.309356153,17043.23113,4,37495.10848,39.12603709,17.00538741,1.384157332,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071144,Richmond (Vic.),36378.30718,4,76394.44508,50.43675819,16.37516665,1.311622184,Urban core districts,33998.41793,4,71396.67765,48.75712977,15.74575742,1.240740873,Urban core districts,44197.9433,4,92815.68094,56.3737395,18.41841462,1.549500591,42498.02241,4,89245.84706,55.02631022,19.15465867,1.638020793,Urban core districts,Urban core districts,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
206071145,Yarra - North,2808.300621,3,6459.091428,17.41247289,11.38287714,0.829216139,Spacious residential area,2246.640497,3,5167.273143,17.2447885,10.94535561,0.78440451,Spacious residential area,2246.640497,3,5167.273143,17.2447885,11.83788783,0.876587777,6178.261366,1,14210.00114,18.45338056,12.11000804,1.023206747,Spacious residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011146,Ashburton (Vic.),2338.499391,1,6781.648233,16.25012625,9.014696296,0.613975548,Urban mixed use and residential area,2672.570732,2,7750.455123,16.40813876,8.668200092,0.580795726,Typical suburban area,2171.46372,1,6297.244788,16.17169154,10.13952515,0.725327374,3674.784757,1,10656.87579,16.89145508,10.96634643,0.810567893,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011147,Balwyn,3248.07886,3,8445.005037,13.11588219,9.331109422,0.641589693,Spacious residential area,2598.463088,3,6756.004029,12.98957454,8.972451305,0.606917575,Spacious residential area,4222.502518,1,10978.50655,13.30765026,9.17870307,0.708431231,1948.847316,3,5067.003022,12.86448324,9.704104272,0.678242566,Urban mixed use and residential area,Spacious residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011148,Balwyn North,6024.496787,2,18073.49036,13.33783041,9.987727064,0.693746105,Typical suburban area,8032.662382,2,24097.98715,13.59847956,9.603830657,0.656255405,Typical suburban area,8534.703781,2,25604.11134,13.66443387,10.80217006,0.77527519,4518.37259,2,13555.11777,13.14562744,11.68302631,0.866385578,Typical suburban area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011149,Camberwell,5927.305875,1,16003.72586,21.08783495,8.116504817,0.604436795,Urban mixed use and residential area,6774.063857,2,18289.97241,21.29288825,7.804532232,0.571772456,Typical suburban area,5503.926884,1,14860.60259,20.98605001,9.129259821,0.714058654,9314.337804,1,25148.71207,21.92008921,9.873699642,0.797974871,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011150,Glen Iris - East,3348.72411,3,9376.427509,16.18591291,9.190091417,0.664979594,Spacious residential area,2678.979288,3,7501.142007,16.03004046,8.836853583,0.629043464,Spacious residential area,2678.979288,3,7501.142007,16.03004046,9.557449318,0.702968691,7367.193043,1,20628.14052,17.15349753,9.777148565,0.820547955,Spacious residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011151,Hawthorn,3852.51207,2,8475.526554,16.19730771,10.85799544,0.719890671,Typical suburban area,5136.68276,2,11300.70207,16.51383704,10.44064869,0.680987094,Typical suburban area,4173.554743,1,9181.820434,16.27586666,10.84249045,0.804722385,7062.938795,1,15538.46535,17.0002668,11.72663459,0.899293409,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011152,Hawthorn East,2173.168113,3,4998.28666,15.17688603,10.59443046,0.711082378,Spacious residential area,1738.534491,3,3998.629328,15.03073064,10.18721431,0.67265481,Spacious residential area,2825.118547,1,6497.772659,15.39878815,10.42139011,0.785163742,4780.969849,1,10996.23065,16.0841516,11.27119589,0.877436234,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011153,Kew,6876.545791,2,17879.01906,14.90228231,10.6300564,0.751349225,Typical suburban area,9168.727721,2,23838.69207,15.19350412,10.2214709,0.710745598,Typical suburban area,7449.591273,1,19368.93731,14.97456022,10.6148769,0.839888007,5157.409343,2,13409.26429,14.68753502,12.4343835,0.938323298,Urban mixed use and residential area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011154,Kew East,3056.778597,1,8558.980073,14.1491709,11.0898793,0.757389323,Urban mixed use and residential area,3493.461254,2,9781.691512,14.28675421,12.01134857,0.757172741,Typical suburban area,2838.437269,1,7947.624353,14.0808769,12.47364374,0.894750956,4803.509224,1,13449.82583,14.70758326,13.49079927,0.999902144,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207011155,Surrey Hills (West) - Canterbury,3336.884442,3,9343.276437,18.6007064,9.199118158,0.642783162,Spacious residential area,2669.507553,3,7474.62115,18.42157917,8.845533365,0.608046548,Spacious residential area,2669.507553,3,7474.62115,18.42157917,9.566836888,0.679504216,2002.130665,3,5605.965862,18.24417696,9.566836888,0.679504216,Spacious residential area,Spacious residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021156,Bulleen,4656.031513,1,12571.28509,12.81382362,10.60360316,0.752099997,Urban mixed use and residential area,5321.178872,2,14367.18295,12.93842232,11.48466726,0.751884927,Typical suburban area,4323.457834,1,11673.33615,12.75197496,11.92669141,0.888502348,7316.620949,1,19754.87656,13.31953505,12.89924606,0.992919199,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021157,Doncaster,5823.373909,2,14558.43477,12.13310177,10.4255152,0.72376713,Typical suburban area,7764.498546,2,19411.24636,12.370208,10.02479162,0.684654066,Typical suburban area,6308.655068,1,15771.63767,12.19194882,10.41062778,0.809055645,4367.530432,2,10918.82608,11.95825938,12.19512384,0.903877369,Urban mixed use and residential area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021159,Templestowe,7098.008729,3,20584.22531,13.09104993,10.52959609,0.75293206,Spacious residential area,11356.81397,2,32934.7605,13.47665845,9.973743273,0.703540186,Typical suburban area,5678.406983,3,16467.38025,12.96498141,10.95049836,0.795945725,4258.805238,3,12350.53519,12.84012695,10.95049836,0.795945725,Spacious residential area,Spacious residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021160,Templestowe Lower,4032.445492,2,10887.60283,12.83219602,10.39797972,0.695702306,Typical suburban area,5376.59399,2,14516.80377,13.08296402,9.998314512,0.658105892,Typical suburban area,5712.631114,2,15424.10401,13.14641802,11.24587652,0.777461284,3024.334119,2,8165.702122,12.64727943,12.16291454,0.868828583,Typical suburban area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021424,Doncaster East (North),4923.235127,1,14769.70538,12.17641989,8.457610637,0.63118903,Urban mixed use and residential area,5626.554431,2,16879.66329,12.29482061,8.132527031,0.597078974,Typical suburban area,4571.575475,1,13714.72642,12.11764779,9.512927882,0.745662727,7736.512342,1,23209.53703,12.65697549,10.28865368,0.833293057,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207021425,Doncaster East (South),3237.427403,2,8417.311248,11.41159581,9.855678211,0.647684701,Typical suburban area,4316.569871,2,11223.08166,11.6346023,9.476857341,0.612683204,Typical suburban area,3507.21302,1,9118.753853,11.46694346,9.841604505,0.724007684,2428.070552,2,6312.983436,11.24715058,11.52856372,0.808861744,Urban mixed use and residential area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207031161,Blackburn,5625.612144,2,15189.15279,14.8251735,10.31149769,0.709721942,Typical suburban area,7500.816192,2,20252.20372,15.11488844,9.915156573,0.671367893,Typical suburban area,7969.617204,2,21517.96645,15.18819753,11.15234236,0.793128509,4219.209108,2,11391.86459,14.61153737,12.06175319,0.886337021,Typical suburban area,Typical suburban area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207031162,Blackburn South,2786.778554,1,7524.302097,12.47097217,8.605325485,0.596545992,Urban mixed use and residential area,3184.889776,2,8599.202397,12.59223705,8.27456419,0.564308079,Typical suburban area,2587.722943,1,6986.851947,12.41077835,9.679074179,0.704736759,4379.223443,1,11823.9033,12.96315259,10.46834827,0.787557467,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207031163,Box Hill,5444.211763,1,13610.52941,11.74592662,10.05550819,0.730960304,Urban mixed use and residential area,6221.9563,2,15554.89075,11.86014133,9.669006493,0.691458514,Typical suburban area,5055.339494,1,12638.34874,11.68923239,11.31020667,0.863528718,8555.189913,1,21387.97478,12.20949234,12.23249044,0.965010666,Urban mixed use and residential area,Urban mixed use and residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
207031164,Box Hill North,3537.298354,3,9550.705557,12.15704204,9.941026768,0.666633547,Spacious residential area,2829.838684,3,7640.564446,12.03996814,9.558925371,0.630608036,Spacious residential area,4598.487861,1,12415.91722,12.33479085,9.778658548,0.736084182,2122.379013,3,5730.423334,11.92402168,10.338402,0.704717132,Urban mixed use and residential area,Spacious residential area,Existing Condition,Business As Usual,Standard 20-minute Neighbourhood,Optimistic 20-minute Neighbourhood
